"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP","W","D","L","GF","GA","GD","Pts","Pts.MP","xG","xGA","xGD","xGD.90","Last.5","Attendance","Top.Team.Scorer","Goalkeeper","Notes"
"1","Premier League","M","ENG",2024,"Arsenal","team",3,27,19,4,4,68,23,45,61,2.26,55.3,18.4,36.9,1.37,"W W W W W",60204,"Bukayo Saka - 13","David Raya",""
"2","Premier League","M","ENG",2024,"Aston Villa","team",4,27,17,4,6,59,37,22,55,2.04,50.2,38.3,11.9,0.44,"W L W W W",41651,"Ollie Watkins - 16","Emiliano Martínez",""
"3","Premier League","M","ENG",2024,"Bournemouth","team",13,26,8,7,11,35,47,-12,31,1.19,36.9,41.7,-4.8,-0.18,"D L D L W",11071,"Dominic Solanke - 14","Neto",""
"4","Premier League","M","ENG",2024,"Brentford","team",15,27,7,5,15,39,50,-11,26,0.96,43,41.1,1.8,0.07,"W L L L D",17077,"Bryan Mbeumo - 7","Mark Flekken",""
"5","Premier League","M","ENG",2024,"Brighton","team",9,27,10,9,8,49,44,5,39,1.44,45.1,38,7.1,0.26,"W L W D L",33118,"João Pedro - 8","Jason Steele",""
"6","Premier League","M","ENG",2024,"Burnley","team",19,27,3,4,20,25,60,-35,13,0.48,25,47.3,-22.3,-0.83,"D L L L L",21211,"Lyle Foster, Zeki Amdouni - 4","James Trafford",""
"7","Premier League","M","ENG",2024,"Chelsea","team",11,26,10,6,10,44,43,1,36,1.38,48.5,39.5,9,0.35,"L L W D D",39706,"Cole Palmer - 10","Robert Sánchez",""
"8","Premier League","M","ENG",2024,"Crystal Palace","team",14,27,7,7,13,32,47,-15,28,1.04,30.4,39.1,-8.7,-0.32,"L L D W L",24843,"Odsonne Édouard, Eberechi Eze... - 6","Sam Johnstone",""
"9","Premier League","M","ENG",2024,"Everton","team",16,27,8,7,12,29,37,-8,25,0.93,40.7,37.1,3.7,0.14,"D L D D L",39063,"Abdoulaye Doucouré - 6","Jordan Pickford","6-point deduction 1"
"10","Premier League","M","ENG",2024,"Fulham","team",12,27,10,5,12,39,42,-3,35,1.3,33.9,46.5,-12.6,-0.47,"D W L W W",24281,"Raúl Jiménez, Bobby Reid... - 5","Bernd Leno",""
"11","Premier League","M","ENG",2024,"Liverpool","team",1,27,19,6,2,64,25,39,63,2.33,59.9,32.9,26.9,1,"L W W W W",54101,"Mohamed Salah - 15","Alisson",""
"12","Premier League","M","ENG",2024,"Luton Town","team",18,26,5,5,16,37,54,-17,20,0.77,31.9,52.8,-20.8,-0.8,"D L L L L",11025,"Elijah Adebayo - 9","Thomas Kaminski",""
"13","Premier League","M","ENG",2024,"Manchester City","team",2,27,19,5,3,62,27,35,62,2.3,55,24.9,30.1,1.12,"W D W W W",52996,"Erling Haaland - 18","Ederson",""
"14","Premier League","M","ENG",2024,"Manchester Utd","team",6,27,14,2,11,37,39,-2,44,1.63,40.6,45.8,-5.3,-0.2,"W W W L L",73517,"Scott McTominay, Rasmus Højlund - 7","André Onana",""
"15","Premier League","M","ENG",2024,"Newcastle Utd","team",8,27,12,4,11,57,45,12,40,1.48,50.4,47.6,2.8,0.1,"D W D L W",52121,"Alexander Isak - 11","Nick Pope",""
"16","Premier League","M","ENG",2024,"Nott'ham Forest","team",17,27,6,6,15,34,49,-15,24,0.89,33.8,40.9,-7.1,-0.26,"D L W L L",29344,"Chris Wood - 8","Matt Turner",""
"17","Premier League","M","ENG",2024,"Sheffield Utd","team",20,27,3,4,20,22,72,-50,13,0.48,24,53.7,-29.8,-1.1,"L W L L L",30355,"Oliver McBurnie, Cameron Archer - 4","Wes Foderingham",""
"18","Premier League","M","ENG",2024,"Tottenham","team",5,26,15,5,6,55,39,16,50,1.92,45.4,43,2.4,0.09,"W D W L W",61555,"Son Heung-min - 13","Guglielmo Vicario",""
"19","Premier League","M","ENG",2024,"West Ham","team",7,27,12,6,9,43,47,-4,42,1.56,36.9,49.6,-12.7,-0.47,"L L L W W",62616,"Jarrod Bowen - 14","Alphonse Areola",""
"20","Premier League","M","ENG",2024,"Wolves","team",10,27,11,5,11,40,43,-3,38,1.41,36.7,45.3,-8.5,-0.32,"W L W W L",31313,"Hwang Hee-chan - 10","José Sá",""
